Gender	Reference period	Province	Population	Age Group	Births	Deaths	Migration Effect
Women	2015	New Brunswick	3290	0 years			
Women	2016	New Brunswick	3288	0 years			
Women	2017	New Brunswick	3217	0 years			
Women	2018	New Brunswick	3174	0 years			
Women	2019	New Brunswick	3114	0 years			
Women	2020	New Brunswick	3021	0 years			
Women	2021	New Brunswick	3017	0 years			
Women	2022	New Brunswick	3022	0 years			
Women	2023	New Brunswick	2978	0 years			
Women	2014	New Brunswick	17881	5 to 9 years			
Women	2015	New Brunswick	18373	5 to 9 years			
Women	2016	New Brunswick	18790	5 to 9 years			
Women	2017	New Brunswick	18847	5 to 9 years			
Women	2018	New Brunswick	18775	5 to 9 years			
Women	2019	New Brunswick	18856	5 to 9 years			
Women	2020	New Brunswick	18939	5 to 9 years			
Women	2021	New Brunswick	18895	5 to 9 years			
Women	2022	New Brunswick	19426	5 to 9 years			
Women	2023	New Brunswick	20120	5 to 9 years			
Women	2014	New Brunswick	18728	10 to 14 years			
Women	2015	New Brunswick	18478	10 to 14 years			
Women	2016	New Brunswick	18627	10 to 14 years			
Women	2017	New Brunswick	18560	10 to 14 years			
Women	2018	New Brunswick	18663	10 to 14 years			
Women	2019	New Brunswick	18875	10 to 14 years			
Women	2020	New Brunswick	19430	10 to 14 years			
Women	2021	New Brunswick	19682	10 to 14 years			
Women	2022	New Brunswick	20454	10 to 14 years			
Women	2023	New Brunswick	21248	10 to 14 years			
Women	2014	New Brunswick	20142	15 to 19 years			
Women	2015	New Brunswick	20011	15 to 19 years			
Women	2016	New Brunswick	19872	15 to 19 years			
Women	2017	New Brunswick	19944	15 to 19 years			
Women	2018	New Brunswick	19857	15 to 19 years			
Women	2019	New Brunswick	19965	15 to 19 years			
Women	2020	New Brunswick	19562	15 to 19 years			
Women	2021	New Brunswick	19171	15 to 19 years			
Women	2022	New Brunswick	19995	15 to 19 years			
Women	2023	New Brunswick	20934	15 to 19 years			
Women	2014	New Brunswick	21984	20 to 24 years			
Women	2015	New Brunswick	21348	20 to 24 years			
Women	2016	New Brunswick	20931	20 to 24 years			
Women	2017	New Brunswick	20688	20 to 24 years			
Women	2018	New Brunswick	20530	20 to 24 years			
Women	2019	New Brunswick	20604	20 to 24 years			
Women	2020	New Brunswick	20828	20 to 24 years			
Women	2021	New Brunswick	21222	20 to 24 years			
Women	2022	New Brunswick	22093	20 to 24 years			
Women	2023	New Brunswick	22660	20 to 24 years			
Women	2014	New Brunswick	20809	25 to 29 years			
Women	2015	New Brunswick	20608	25 to 29 years			
Women	2016	New Brunswick	20468	25 to 29 years			
Women	2017	New Brunswick	20691	25 to 29 years			
Women	2018	New Brunswick	20925	25 to 29 years			
Women	2019	New Brunswick	21353	25 to 29 years			
Women	2020	New Brunswick	21529	25 to 29 years			
Women	2021	New Brunswick	21832	25 to 29 years			
Women	2022	New Brunswick	22450	25 to 29 years			
Women	2023	New Brunswick	23447	25 to 29 years			
Women	2014	New Brunswick	22267	30 to 34 years			
Women	2015	New Brunswick	22009	30 to 34 years			
Women	2016	New Brunswick	21909	30 to 34 years			
Women	2017	New Brunswick	21793	30 to 34 years			
Women	2018	New Brunswick	21801	30 to 34 years			
Women	2019	New Brunswick	21928	30 to 34 years			
Women	2020	New Brunswick	22167	30 to 34 years			
Women	2021	New Brunswick	22574	30 to 34 years			
Women	2022	New Brunswick	23599	30 to 34 years			
Women	2023	New Brunswick	25341	30 to 34 years			
Women	2014	New Brunswick	23642	35 to 39 years			
Women	2015	New Brunswick	23234	35 to 39 years			
Women	2016	New Brunswick	23181	35 to 39 years			
Women	2017	New Brunswick	22971	35 to 39 years			
Women	2018	New Brunswick	23209	35 to 39 years			
Women	2019	New Brunswick	23692	35 to 39 years			
Women	2020	New Brunswick	23866	35 to 39 years			
Women	2021	New Brunswick	24063	35 to 39 years			
Women	2022	New Brunswick	24919	35 to 39 years			
Women	2023	New Brunswick	26107	35 to 39 years			
Women	2014	New Brunswick	25660	40 to 44 years			
Women	2015	New Brunswick	25586	40 to 44 years			
Women	2016	New Brunswick	25208	40 to 44 years			
Women	2017	New Brunswick	25061	40 to 44 years			
Women	2018	New Brunswick	24848	40 to 44 years			
Women	2019	New Brunswick	24604	40 to 44 years			
Women	2020	New Brunswick	24506	40 to 44 years			
Women	2021	New Brunswick	24585	40 to 44 years			
Women	2022	New Brunswick	24975	40 to 44 years			
Women	2023	New Brunswick	26282	40 to 44 years			
Women	2014	New Brunswick	27828	45 to 49 years			
Women	2015	New Brunswick	26653	45 to 49 years			
Women	2016	New Brunswick	26267	45 to 49 years			
Women	2017	New Brunswick	26089	45 to 49 years			
Women	2018	New Brunswick	26024	45 to 49 years			
Women	2019	New Brunswick	26104	45 to 49 years			
Women	2020	New Brunswick	26125	45 to 49 years			
Women	2021	New Brunswick	25946	45 to 49 years			
Women	2022	New Brunswick	26223	45 to 49 years			
Women	2023	New Brunswick	26522	45 to 49 years			
Women	2014	New Brunswick	31858	50 to 54 years			
Women	2015	New Brunswick	31878	50 to 54 years			
Women	2016	New Brunswick	31292	50 to 54 years			
Women	2017	New Brunswick	30322	50 to 54 years			
Women	2018	New Brunswick	29218	50 to 54 years			
Women	2019	New Brunswick	28083	50 to 54 years			
Women	2020	New Brunswick	26963	50 to 54 years			
Women	2021	New Brunswick	26656	50 to 54 years			
Women	2022	New Brunswick	26773	50 to 54 years			
Women	2023	New Brunswick	26946	50 to 54 years			
Women	2014	New Brunswick	31165	55 to 59 years			
Women	2015	New Brunswick	31322	55 to 59 years			
Women	2016	New Brunswick	31660	55 to 59 years			
Women	2017	New Brunswick	31875	55 to 59 years			
Women	2018	New Brunswick	31898	55 to 59 years			
Women	2019	New Brunswick	32191	55 to 59 years			
Women	2020	New Brunswick	32340	55 to 59 years			
Women	2021	New Brunswick	31783	55 to 59 years			
Women	2022	New Brunswick	30941	55 to 59 years			
Women	2023	New Brunswick	30061	55 to 59 years			
Women	2014	New Brunswick	28290	60 to 64 years			
Women	2015	New Brunswick	29210	60 to 64 years			
Women	2016	New Brunswick	29991	60 to 64 years			
Women	2017	New Brunswick	30605	60 to 64 years			
Women	2018	New Brunswick	31160	60 to 64 years			
Women	2019	New Brunswick	31460	60 to 64 years			
Women	2020	New Brunswick	31604	60 to 64 years			
Women	2021	New Brunswick	32011	60 to 64 years			
Women	2022	New Brunswick	32482	60 to 64 years			
Women	2023	New Brunswick	32563	60 to 64 years			
Women	2014	New Brunswick	24135	65 to 69 years			
Women	2015	New Brunswick	25587	65 to 69 years			
Women	2016	New Brunswick	26571	65 to 69 years			
Women	2017	New Brunswick	26911	65 to 69 years			
Women	2018	New Brunswick	27469	65 to 69 years			
Women	2019	New Brunswick	27990	65 to 69 years			
Women	2020	New Brunswick	28929	65 to 69 years			
Women	2021	New Brunswick	29708	65 to 69 years			
Women	2022	New Brunswick	30535	65 to 69 years			
Women	2023	New Brunswick	31256	65 to 69 years			
Women	2014	New Brunswick	17114	70 to 74 years			
Women	2015	New Brunswick	17749	70 to 74 years			
Women	2016	New Brunswick	18523	70 to 74 years			
Women	2017	New Brunswick	20196	70 to 74 years			
Women	2018	New Brunswick	21731	70 to 74 years			
Women	2019	New Brunswick	23016	70 to 74 years			
Women	2020	New Brunswick	24337	70 to 74 years			
Women	2021	New Brunswick	25186	70 to 74 years			
Women	2022	New Brunswick	25621	70 to 74 years			
Women	2023	New Brunswick	26220	70 to 74 years			
Women	2014	New Brunswick	12644	75 to 79 years			
Women	2015	New Brunswick	12877	75 to 79 years			
Women	2016	New Brunswick	13512	75 to 79 years			
Women	2017	New Brunswick	14106	75 to 79 years			
Women	2018	New Brunswick	14706	75 to 79 years			
Women	2019	New Brunswick	15409	75 to 79 years			
Women	2020	New Brunswick	16057	75 to 79 years			
Women	2021	New Brunswick	16851	75 to 79 years			
Women	2022	New Brunswick	18404	75 to 79 years			
Women	2023	New Brunswick	19799	75 to 79 years			
Women	2014	New Brunswick	9914	80 to 84 years			
Women	2015	New Brunswick	9974	80 to 84 years			
Women	2016	New Brunswick	10117	80 to 84 years			
Women	2017	New Brunswick	10043	80 to 84 years			
Women	2018	New Brunswick	10180	80 to 84 years			
Women	2019	New Brunswick	10566	80 to 84 years			
Women	2020	New Brunswick	10858	80 to 84 years			
Women	2021	New Brunswick	11453	80 to 84 years			
Women	2022	New Brunswick	11906	80 to 84 years			
Women	2023	New Brunswick	12305	80 to 84 years			
Women	2014	New Brunswick	6872	85 to 89 years			
Women	2015	New Brunswick	6769	85 to 89 years			
Women	2016	New Brunswick	6787	85 to 89 years			
Women	2017	New Brunswick	6940	85 to 89 years			
Women	2018	New Brunswick	6895	85 to 89 years			
Women	2019	New Brunswick	6965	85 to 89 years			
Women	2020	New Brunswick	7118	85 to 89 years			
Women	2021	New Brunswick	7220	85 to 89 years			
Women	2022	New Brunswick	7277	85 to 89 years			
Women	2023	New Brunswick	7297	85 to 89 years			
Women	2014	New Brunswick	4970	90 years and older			
Women	2015	New Brunswick	4957	90 years and older			
Women	2016	New Brunswick	5075	90 years and older			
Women	2017	New Brunswick	5048	90 years and older			
Women	2018	New Brunswick	5093	90 years and older			
Women	2019	New Brunswick	5062	90 years and older			
Women	2020	New Brunswick	5017	90 years and older			
Women	2021	New Brunswick	5148	90 years and older			
Women	2022	New Brunswick	5098	90 years and older			
Women	2023	New Brunswick	5097	90 years and older			
Men	2014	Quebec	44907	0 years			
Men	2015	Quebec	44306	0 years			
Men	2016	Quebec	44486	0 years			
Men	2017	Quebec	43414	0 years			
Men	2018	Quebec	42903	0 years			
Men	2019	Quebec	43005	0 years			
Men	2020	Quebec	43401	0 years			
Men	2021	Quebec	42269	0 years			
Men	2022	Quebec	42983	0 years			
Men	2023	Quebec	40447	0 years			
Men	2014	Quebec	217109	5 to 9 years			
Men	2015	Quebec	223103	5 to 9 years			
Men	2016	Quebec	227630	5 to 9 years			
Men	2017	Quebec	231996	5 to 9 years			
Men	2018	Quebec	236979	5 to 9 years			
Men	2019	Quebec	239322	5 to 9 years			
Men	2020	Quebec	240441	5 to 9 years			
Men	2021	Quebec	239912	5 to 9 years			
Men	2022	Quebec	240164	5 to 9 years			
Men	2023	Quebec	241081	5 to 9 years			
Men	2014	Quebec	202729	10 to 14 years			
Men	2015	Quebec	202390	10 to 14 years			
Men	2016	Quebec	205148	10 to 14 years			
Men	2017	Quebec	210534	10 to 14 years			
Men	2018	Quebec	218890	10 to 14 years			
Men	2019	Quebec	227712	10 to 14 years			
Men	2020	Quebec	236076	10 to 14 years			
Men	2021	Quebec	240602	10 to 14 years			
Men	2022	Quebec	244857	10 to 14 years			
Men	2023	Quebec	250407	10 to 14 years			
Men	2014	Quebec	229881	15 to 19 years			
Men	2015	Quebec	224647	15 to 19 years			
Men	2016	Quebec	220260	15 to 19 years			
Men	2017	Quebec	215878	15 to 19 years			
Men	2018	Quebec	214271	15 to 19 years			
Men	2019	Quebec	216252	15 to 19 years			
Men	2020	Quebec	218036	15 to 19 years			
Men	2021	Quebec	218660	15 to 19 years			
Men	2022	Quebec	225927	15 to 19 years			
Men	2023	Quebec	235445	15 to 19 years			
Men	2014	Quebec	273459	20 to 24 years			
Men	2015	Quebec	270175	20 to 24 years			
Men	2016	Quebec	266942	20 to 24 years			
Men	2017	Quebec	263786	20 to 24 years			
Men	2018	Quebec	260563	20 to 24 years			
Men	2019	Quebec	259990	20 to 24 years			
Men	2020	Quebec	257878	20 to 24 years			
Men	2021	Quebec	248260	20 to 24 years			
Men	2022	Quebec	248761	20 to 24 years			
Men	2023	Quebec	256438	20 to 24 years			
Men	2014	Quebec	259677	25 to 29 years			
Men	2015	Quebec	261024	25 to 29 years			
Men	2016	Quebec	266588	25 to 29 years			
Men	2017	Quebec	276098	25 to 29 years			
Men	2018	Quebec	285854	25 to 29 years			
Men	2019	Quebec	292654	25 to 29 years			
Men	2020	Quebec	293207	25 to 29 years			
Men	2021	Quebec	287925	25 to 29 years			
Men	2022	Quebec	286930	25 to 29 years			
Men	2023	Quebec	296632	25 to 29 years			
Men	2014	Quebec	284044	30 to 34 years			
Men	2015	Quebec	277027	30 to 34 years			
Men	2016	Quebec	271248	30 to 34 years			
Men	2017	Quebec	268386	30 to 34 years			
Men	2018	Quebec	270244	30 to 34 years			
Men	2019	Quebec	273713	30 to 34 years			
Men	2020	Quebec	279151	30 to 34 years			
Men	2021	Quebec	285163	30 to 34 years			
Men	2022	Quebec	296530	30 to 34 years			
Men	2023	Quebec	316460	30 to 34 years			
Men	2014	Quebec	281244	35 to 39 years			
Men	2015	Quebec	284594	35 to 39 years			
Men	2016	Quebec	287501	35 to 39 years			
Men	2017	Quebec	290343	35 to 39 years			
Men	2018	Quebec	293268	35 to 39 years			
Men	2019	Quebec	295144	35 to 39 years			
Men	2020	Quebec	292345	35 to 39 years			
Men	2021	Quebec	287517	35 to 39 years			
Men	2022	Quebec	286723	35 to 39 years			
Men	2023	Quebec	295673	35 to 39 years			
Men	2014	Quebec	261767	40 to 44 years			
Men	2015	Quebec	262074	40 to 44 years			
Men	2016	Quebec	264004	40 to 44 years			
Men	2017	Quebec	269656	40 to 44 years			
Men	2018	Quebec	278222	40 to 44 years			
Men	2019	Quebec	287051	40 to 44 years			
Men	2020	Quebec	293931	40 to 44 years			
Men	2021	Quebec	299138	40 to 44 years			
Men	2022	Quebec	303792	40 to 44 years			
Men	2023	Quebec	310739	40 to 44 years			
Men	2014	Quebec	285348	45 to 49 years			
Men	2015	Quebec	274494	45 to 49 years			
Men	2016	Quebec	268543	45 to 49 years			
Men	2017	Quebec	263963	45 to 49 years			
Men	2018	Quebec	262576	45 to 49 years			
Men	2019	Quebec	262886	45 to 49 years			
Men	2020	Quebec	265065	45 to 49 years			
Men	2021	Quebec	267684	45 to 49 years			
Men	2022	Quebec	275393	45 to 49 years			
Men	2023	Quebec	286219	45 to 49 years			
Men	2014	Quebec	326738	50 to 54 years			
Men	2015	Quebec	324765	50 to 54 years			
Men	2016	Quebec	316975	50 to 54 years			
Men	2017	Quebec	307025	50 to 54 years			
Men	2018	Quebec	294807	50 to 54 years			
Men	2019	Quebec	283114	50 to 54 years			
Men	2020	Quebec	272879	50 to 54 years			
Men	2021	Quebec	267206	50 to 54 years			
Men	2022	Quebec	264169	50 to 54 years			
Men	2023	Quebec	264470	50 to 54 years			
Men	2014	Quebec	312618	55 to 59 years			
Men	2015	Quebec	316431	55 to 59 years			
Men	2016	Quebec	321107	55 to 59 years			
Men	2017	Quebec	321968	55 to 59 years			
Men	2018	Quebec	322518	55 to 59 years			
Men	2019	Quebec	322466	55 to 59 years			
Men	2020	Quebec	320523	55 to 59 years			
Men	2021	Quebec	311972	55 to 59 years			
Men	2022	Quebec	302513	55 to 59 years			
Men	2023	Quebec	291300	55 to 59 years			
Men	2014	Quebec	265987	60 to 64 years			
Men	2015	Quebec	273798	60 to 64 years			
Men	2016	Quebec	280161	60 to 64 years			
Men	2017	Quebec	288230	60 to 64 years			
Men	2018	Quebec	296750	60 to 64 years			
Men	2019	Quebec	302861	60 to 64 years			
Men	2020	Quebec	307053	60 to 64 years			
Men	2021	Quebec	312043	60 to 64 years			
Men	2022	Quebec	313804	60 to 64 years			
Men	2023	Quebec	314664	60 to 64 years			
Men	2014	Quebec	224908	65 to 69 years			
Men	2015	Quebec	231339	65 to 69 years			
Men	2016	Quebec	237524	65 to 69 years			
Men	2017	Quebec	240843	65 to 69 years			
Men	2018	Quebec	244851	65 to 69 years			
Men	2019	Quebec	250607	65 to 69 years			
Men	2020	Quebec	257920	65 to 69 years			
Men	2021	Quebec	264249	65 to 69 years			
Men	2022	Quebec	273417	65 to 69 years			
Men	2023	Quebec	282587	65 to 69 years			
Men	2014	Quebec	159985	70 to 74 years			
Men	2015	Quebec	169145	70 to 74 years			
Men	2016	Quebec	178010	70 to 74 years			
Men	2017	Quebec	188497	70 to 74 years			
Men	2018	Quebec	197075	70 to 74 years			
Men	2019	Quebec	205196	70 to 74 years			
Men	2020	Quebec	211305	70 to 74 years			
Men	2021	Quebec	216725	70 to 74 years			
Men	2022	Quebec	220329	70 to 74 years			
Men	2023	Quebec	224681	70 to 74 years			
Men	2014	Quebec	107204	75 to 79 years			
Men	2015	Quebec	110771	75 to 79 years			
Men	2016	Quebec	116264	75 to 79 years			
Men	2017	Quebec	122843	75 to 79 years			
Men	2018	Quebec	130253	75 to 79 years			
Men	2019	Quebec	137752	75 to 79 years			
Men	2020	Quebec	146030	75 to 79 years			
Men	2021	Quebec	153853	75 to 79 years			
Men	2022	Quebec	163751	75 to 79 years			
Men	2023	Quebec	171767	75 to 79 years			
Men	2014	Quebec	75938	80 to 84 years			
Men	2015	Quebec	76836	80 to 84 years			
Men	2016	Quebec	78003	80 to 84 years			
Men	2017	Quebec	78401	80 to 84 years			
Men	2018	Quebec	79737	80 to 84 years			
Men	2019	Quebec	82476	80 to 84 years			
Men	2020	Quebec	85377	80 to 84 years			
Men	2021	Quebec	90105	80 to 84 years			
Men	2022	Quebec	95719	80 to 84 years			
Men	2023	Quebec	102412	80 to 84 years			
Men	2014	Quebec	39806	85 to 89 years			
Men	2015	Quebec	41703	85 to 89 years			
Men	2016	Quebec	43926	85 to 89 years			
Men	2017	Quebec	45829	85 to 89 years			
Men	2018	Quebec	47219	85 to 89 years			
Men	2019	Quebec	48091	85 to 89 years			
Men	2020	Quebec	48280	85 to 89 years			
Men	2021	Quebec	48997	85 to 89 years			
Men	2022	Quebec	49753	85 to 89 years			
Men	2023	Quebec	51205	85 to 89 years			
Men	2014	Quebec	15653	90 years and older			
Men	2015	Quebec	16753	90 years and older			
Men	2016	Quebec	18361	90 years and older			
Men	2017	Quebec	19640	90 years and older			
Men	2018	Quebec	20686	90 years and older			
Men	2019	Quebec	21674	90 years and older			
Men	2020	Quebec	22326	90 years and older			
Men	2021	Quebec	23601	90 years and older			
Men	2022	Quebec	25069	90 years and older			
Men	2023	Quebec	26105	90 years and older			
Women	2014	Quebec	43242	0 years			
Women	2015	Quebec	42729	0 years			
Women	2016	Quebec	42192	0 years			
Women	2017	Quebec	41220	0 years			
Women	2018	Quebec	41103	0 years			
Women	2019	Quebec	40746	0 years			
Women	2020	Quebec	40795	0 years			
Women	2021	Quebec	39898	0 years			
Women	2022	Quebec	40576	0 years			
Women	2023	Quebec	38450	0 years			
Women	2014	Quebec	209167	5 to 9 years			
Women	2015	Quebec	215318	5 to 9 years			
Women	2016	Quebec	219415	5 to 9 years			
Women	2017	Quebec	223160	5 to 9 years			
Women	2018	Quebec	226586	5 to 9 years			
Women	2019	Quebec	228602	5 to 9 years			
Women	2020	Quebec	229689	5 to 9 years			
Women	2021	Quebec	228267	5 to 9 years			
Women	2022	Quebec	227728	5 to 9 years			
Women	2023	Quebec	228901	5 to 9 years			
Women	2014	Quebec	193844	10 to 14 years			
Women	2015	Quebec	193984	10 to 14 years			
Women	2016	Quebec	197586	10 to 14 years			
Women	2017	Quebec	202598	10 to 14 years			
Women	2018	Quebec	210427	10 to 14 years			
Women	2019	Quebec	218631	10 to 14 years			
Women	2020	Quebec	226418	10 to 14 years			
Women	2021	Quebec	230010	10 to 14 years			
Women	2022	Quebec	234302	10 to 14 years			
Women	2023	Quebec	238846	10 to 14 years			
Women	2014	Quebec	219525	15 to 19 years			
Women	2015	Quebec	213929	15 to 19 years			
Women	2016	Quebec	209725	15 to 19 years			
Women	2017	Quebec	207265	15 to 19 years			
Women	2018	Quebec	206685	15 to 19 years			
Women	2019	Quebec	208785	15 to 19 years			
Women	2020	Quebec	209871	15 to 19 years			
Women	2021	Quebec	211061	15 to 19 years			
Women	2022	Quebec	217427	15 to 19 years			
Women	2023	Quebec	226117	15 to 19 years			
Women	2014	Quebec	261085	20 to 24 years			
Women	2015	Quebec	255809	20 to 24 years			
Women	2016	Quebec	251039	20 to 24 years			
Women	2017	Quebec	248317	20 to 24 years			
Women	2018	Quebec	245823	20 to 24 years			
Women	2019	Quebec	244114	20 to 24 years			
Women	2020	Quebec	241419	20 to 24 years			
Women	2021	Quebec	233516	20 to 24 years			
Women	2022	Quebec	235650	20 to 24 years			
Women	2023	Quebec	240826	20 to 24 years			
Women	2014	Quebec	249931	25 to 29 years			
Women	2015	Quebec	249569	25 to 29 years			
Women	2016	Quebec	252507	25 to 29 years			
Women	2017	Quebec	260969	25 to 29 years			
Women	2018	Quebec	269242	25 to 29 years			
Women	2019	Quebec	274579	25 to 29 years			
Women	2020	Quebec	274378	25 to 29 years			
Women	2021	Quebec	269178	25 to 29 years			
Women	2022	Quebec	267323	25 to 29 years			
Women	2023	Quebec	272944	25 to 29 years			
Women	2014	Quebec	274302	30 to 34 years			
Women	2015	Quebec	268747	30 to 34 years			
Women	2016	Quebec	263271	30 to 34 years			
Women	2017	Quebec	261146	30 to 34 years			
Women	2018	Quebec	262577	30 to 34 years			
Women	2019	Quebec	264953	30 to 34 years			
Women	2020	Quebec	269584	30 to 34 years			
Women	2021	Quebec	274604	30 to 34 years			
Women	2022	Quebec	282840	30 to 34 years			
Women	2023	Quebec	296210	30 to 34 years			
Women	2014	Quebec	272347	35 to 39 years			
Women	2015	Quebec	276467	35 to 39 years			
Women	2016	Quebec	280117	35 to 39 years			
Women	2017	Quebec	282107	35 to 39 years			
Women	2018	Quebec	284806	35 to 39 years			
Women	2019	Quebec	285746	35 to 39 years			
Women	2020	Quebec	284120	35 to 39 years			
Women	2021	Quebec	279112	35 to 39 years			
Women	2022	Quebec	278574	35 to 39 years			
Women	2023	Quebec	282755	35 to 39 years			
Women	2014	Quebec	253281	40 to 44 years			
Women	2015	Quebec	254278	40 to 44 years			
Women	2016	Quebec	256629	40 to 44 years			
Women	2017	Quebec	262059	40 to 44 years			
Women	2018	Quebec	269863	40 to 44 years			
Women	2019	Quebec	277463	40 to 44 years			
Women	2020	Quebec	283940	40 to 44 years			
Women	2021	Quebec	288834	40 to 44 years			
Women	2022	Quebec	292545	40 to 44 years			
Women	2023	Quebec	297495	40 to 44 years			
Women	2014	Quebec	278908	45 to 49 years			
Women	2015	Quebec	268919	45 to 49 years			
Women	2016	Quebec	263639	45 to 49 years			
Women	2017	Quebec	258126	45 to 49 years			
Women	2018	Quebec	254825	45 to 49 years			
Women	2019	Quebec	254615	45 to 49 years			
Women	2020	Quebec	256158	45 to 49 years			
Women	2021	Quebec	258412	45 to 49 years			
Women	2022	Quebec	265705	45 to 49 years			
Women	2023	Quebec	275702	45 to 49 years			
Women	2014	Quebec	321962	50 to 54 years			
Women	2015	Quebec	319585	50 to 54 years			
Women	2016	Quebec	311840	50 to 54 years			
Women	2017	Quebec	301609	50 to 54 years			
Women	2018	Quebec	288843	50 to 54 years			
Women	2019	Quebec	276572	50 to 54 years			
Women	2020	Quebec	265439	50 to 54 years			
Women	2021	Quebec	259688	50 to 54 years			
Women	2022	Quebec	256529	50 to 54 years			
Women	2023	Quebec	255891	50 to 54 years			
Women	2014	Quebec	311145	55 to 59 years			
Women	2015	Quebec	316120	55 to 59 years			
Women	2016	Quebec	321012	55 to 59 years			
Women	2017	Quebec	320951	55 to 59 years			
Women	2018	Quebec	320538	55 to 59 years			
Women	2019	Quebec	318311	55 to 59 years			
Women	2020	Quebec	314580	55 to 59 years			
Women	2021	Quebec	305288	55 to 59 years			
Women	2022	Quebec	296322	55 to 59 years			
Women	2023	Quebec	285425	55 to 59 years			
Women	2014	Quebec	267945	60 to 64 years			
Women	2015	Quebec	276310	60 to 64 years			
Women	2016	Quebec	283128	60 to 64 years			
Women	2017	Quebec	291567	60 to 64 years			
Women	2018	Quebec	300037	60 to 64 years			
Women	2019	Quebec	306629	60 to 64 years			
Women	2020	Quebec	311038	60 to 64 years			
Women	2021	Quebec	315127	60 to 64 years			
Women	2022	Quebec	315451	60 to 64 years			
Women	2023	Quebec	315608	60 to 64 years			
Women	2014	Quebec	233494	65 to 69 years			
Women	2015	Quebec	239450	65 to 69 years			
Women	2016	Quebec	245277	65 to 69 years			
Women	2017	Quebec	248449	65 to 69 years			
Women	2018	Quebec	252591	65 to 69 years			
Women	2019	Quebec	258688	65 to 69 years			
Women	2020	Quebec	266592	65 to 69 years			
Women	2021	Quebec	272991	65 to 69 years			
Women	2022	Quebec	282680	65 to 69 years			
Women	2023	Quebec	291901	65 to 69 years			
Women	2014	Quebec	175427	70 to 74 years			
Women	2015	Quebec	183101	70 to 74 years			
Women	2016	Quebec	191131	70 to 74 years			
Women	2017	Quebec	201575	70 to 74 years			
Women	2018	Quebec	210601	70 to 74 years			
Women	2019	Quebec	218673	70 to 74 years			
Women	2020	Quebec	224574	70 to 74 years			
Women	2021	Quebec	230289	70 to 74 years			
Women	2022	Quebec	233972	70 to 74 years			
Women	2023	Quebec	239086	70 to 74 years			
Women	2014	Quebec	129847	75 to 79 years			
Women	2015	Quebec	132036	75 to 79 years			
Women	2016	Quebec	136227	75 to 79 years			
Women	2017	Quebec	142580	75 to 79 years			
Women	2018	Quebec	149660	75 to 79 years			
Women	2019	Quebec	157336	75 to 79 years			
Women	2020	Quebec	165122	75 to 79 years			
Women	2021	Quebec	172914	75 to 79 years			
Women	2022	Quebec	183090	75 to 79 years			
Women	2023	Quebec	191533	75 to 79 years			
Women	2014	Quebec	107571	80 to 84 years			
Women	2015	Quebec	106559	80 to 84 years			
Women	2016	Quebec	105762	80 to 84 years			
Women	2017	Quebec	105502	80 to 84 years			
Women	2018	Quebec	106316	80 to 84 years			
Women	2019	Quebec	108632	80 to 84 years			
Women	2020	Quebec	111666	80 to 84 years			
Women	2021	Quebec	116703	80 to 84 years			
Women	2022	Quebec	121735	80 to 84 years			
Women	2023	Quebec	127284	80 to 84 years			
Women	2014	Quebec	73102	85 to 89 years			
Women	2015	Quebec	73759	85 to 89 years			
Women	2016	Quebec	75203	85 to 89 years			
Women	2017	Quebec	77279	85 to 89 years			
Women	2018	Quebec	78134	85 to 89 years			
Women	2019	Quebec	78656	85 to 89 years			
Women	2020	Quebec	78464	85 to 89 years			
Women	2021	Quebec	78684	85 to 89 years			
Women	2022	Quebec	78603	85 to 89 years			
Women	2023	Quebec	78719	85 to 89 years			
Women	2014	Quebec	46044	90 years and older			
Women	2015	Quebec	47974	90 years and older			
Women	2016	Quebec	50709	90 years and older			
Women	2017	Quebec	52065	90 years and older			
Women	2018	Quebec	53456	90 years and older			
Women	2019	Quebec	55021	90 years and older			
Women	2020	Quebec	55715	90 years and older			
Women	2021	Quebec	58181	90 years and older			
Women	2022	Quebec	60165	90 years and older			
Women	2023	Quebec	61418	90 years and older			
Men	2014	Ontario	71720	0 years			
Men	2015	Ontario	71707	0 years			
Men	2016	Ontario	71997	0 years			
Men	2017	Ontario	72532	0 years			
Men	2018	Ontario	72840	0 years			
Men	2019	Ontario	72032	0 years			
Men	2020	Ontario	71740	0 years			
Men	2021	Ontario	70420	0 years			
Men	2022	Ontario	70616	0 years			
Men	2023	Ontario	68947	0 years			
Men	2014	Ontario	380325	5 to 9 years			
Men	2015	Ontario	382852	5 to 9 years			
Men	2016	Ontario	386895	5 to 9 years			
Men	2017	Ontario	390664	5 to 9 years			
Men	2018	Ontario	393451	5 to 9 years			
Men	2019	Ontario	395983	5 to 9 years			
Men	2020	Ontario	399039	5 to 9 years			
Men	2021	Ontario	400293	5 to 9 years			
Men	2022	Ontario	402873	5 to 9 years			
Men	2023	Ontario	408367	5 to 9 years			
Men	2014	Ontario	386891	10 to 14 years			
Men	2015	Ontario	385567	10 to 14 years			
Men	2016	Ontario	388394	10 to 14 years			
Men	2017	Ontario	393648	10 to 14 years			
Men	2018	Ontario	402104	10 to 14 years			
Men	2019	Ontario	408337	10 to 14 years			
Men	2020	Ontario	414008	10 to 14 years			
Men	2021	Ontario	416274	10 to 14 years			
Men	2022	Ontario	419841	10 to 14 years			
Men	2023	Ontario	424776	10 to 14 years			
Men	2014	Ontario	442219	15 to 19 years			
